"sepyr","siteid","month","Name","TAVG","PRCP","tot_vis","year","burned","closed_month","d2p","pred","pctdiff","diff"
"2015","CRG_002","1","Oneonta Gorge",41.1,7.97,169,2015,"yes","open","2015-01-15",482.64565699871,-0.649846636866243,-313.64565699871
"2015","CRG_014","1","Tom McCall TNC trail",41.1,7.97,45,2015,"no","open","2015-01-15",50.2087027579561,-0.103741034359441,-5.20870275795605
"2015","CRG_033","1","Falls Creek Falls",41.1,7.97,91,2015,"no","open","2015-01-15",80.3806638268338,0.132113068835109,10.6193361731662
"2015","CRG_031","1","Eight Mile trail",41.1,7.97,28,2015,"no","open","2015-01-15",11.8629084368552,1.3602980794331,16.1370915631448
"2015","CRG_029","1","Umbrella/Sahalie Falls",41.1,7.97,97,2015,"no","open","2015-01-15",137.761640963358,-0.295885274582346,-40.7616409633577
"2015","CRG_008","1","Eagle Creek",41.1,7.97,375,2015,"yes","open","2015-01-15",347.393477435458,0.0794675903771719,27.6065225645423
"2015","CRG_027","1","Latourell Falls",41.1,7.97,462,2015,"no","open","2015-01-15",307.34225092116,0.503210178930176,154.65774907884
"2015","CRG_024","1","Angels rest trail",41.1,7.97,464,2015,"no","open","2015-01-15",268.754413205592,0.726483276927807,195.245586794408
"2015","CRG_022","1","Horsetail Falls",41.1,7.97,328,2015,"no","open","2015-01-15",280.6089753185,0.168886346659831,47.3910246815
"2015","CRG_034","1","Panther Creek Falls",41.1,7.97,53,2015,"no","open","2015-01-15",29.3428928901294,0.806229542480748,23.6571071098706
"2015","CRG_020","1","Mitchell/Wygant area",41.1,7.97,71,2015,"no","open","2015-01-15",37.3080680436744,0.903073617129796,33.6919319563256
"2015","CRG_018","1","Tamanawas Falls trail",41.1,7.97,117,2015,"no","open","2015-01-15",110.622177595271,0.0576541028514501,6.37782240472913
"2015","CRG_016","1","Mosier Plateau FCG trail",41.1,7.97,37,2015,"no","open","2015-01-15",25.3171826396299,0.461458035306129,11.6828173603701
"2015","CRG_028","1","Dog River",41.1,7.97,28,2015,"no","open","2015-01-15",10.7806684317105,1.5972415511491,17.2193315682895
"2015","CRG_026","1","Beacon Rock",41.1,7.97,297,2015,"no","open","2015-01-15",177.03387724259,0.677645005724074,119.96612275741
